,College_ID,Research Level,Competency,constructive_type_abv,scholarly_project,HDR_option,HDR_option_avail,Repeated_learning_YES_ID,Compulsory_YES_ID,project_category_ID,RPL,LEARNINGA_research_training,LEARNINGA_experienced_supervisor,LEARNINGA_experienced_supervisor_ID,activity_type
0,38,Leading,Creating,Activity,True,False,False,2 - No,1 - Yes,1 - Only option,True,False,False,4 - Experienced research supervisor ENCOURAGED,Scholalry Project
1,37,Leading,Creating,Activity,True,False,True,2 - No,1 - Yes,1 - Only option,False,False,False,2 - Supervisor required but no details given,Scholalry Project
2,38,Using,Evaluating,Activity,False,False,False,2 - No,1 - Yes,1 - Only option,False,True,False,,CLEAR course
3,37,Using,Evaluating,Activity,False,False,False,2 - No,1 - Yes,1 - Only option,False,True,False,,CLEAR course
4,36,Leading,Creating,Activity,True,False,True,2 - No,1 - Yes,1 - Only option,True,False,False,2 - Supervisor required but no details given,Scholalry Project
6,36,Using,Understanding,Activity,False,False,False,1 - Yes,1 - Yes,,False,False,False,,Conference Attendence
7,40,Using,Evaluating,Activity,False,False,False,2 - No,1 - Yes,1 - Only option,False,True,False,,CLEAR course
8,40,Using,Understanding,Activity,False,False,False,1 - Yes,1 - Yes,,False,False,False,,Conference Attendence
11,41,Leading,Creating,Activity,True,False,True,2 - No,1 - Yes,3 - Points based system,False,False,False,2 - Supervisor required but no details given,Scholalry Project
12,41,Using,Understanding,Activity,False,False,False,1 - Yes,1 - Yes,,False,False,False,,Conference Attendence
13,41,Using,Understanding,Activity,False,False,False,1 - Yes,1 - Yes,,False,False,False,,Formal trainee education and training - COLLEGE
14,41,Using,Evaluating,Activity,False,False,False,2 - No,1 - Yes,1 - Only option,False,True,False,,CLEAR course
15,42,Using,Evaluating,Activity,False,False,False,2 - No,1 - Yes,1 - Only option,False,True,False,,CLEAR course
16,42,Leading,Creating,Activity,True,False,True,2 - No,1 - Yes,1 - Only option,False,False,False,2 - Supervisor required but no details given,Scholalry Project
19,42,Using,Understanding,Activity,False,False,False,1 - Yes,1 - Yes,,False,False,False,,Formal trainee education and training - COLLEGE
20,42,Using,Understanding,Activity,False,False,False,1 - Yes,1 - Yes,,False,False,False,,Conference Attendence
21,42,Using,Understanding,Activity,False,False,False,1 - Yes,1 - Yes,,False,False,False,,Conference Attendence
22,42,Using,Understanding,Activity,False,False,False,1 - Yes,1 - Yes,,False,False,False,,Formal trainee education and training - COLLEGE
23,42,Using,Remembering,Activity,False,False,False,1 - Yes,3 - Not specified,,False,False,False,,Journal Club
24,43,Leading,Creating,Activity,True,False,True,2 - No,1 - Yes,1 - Only option,False,False,False,1 - Supervisor NOT required and/or mentioned,Scholalry Project
26,40,Leading,Creating,Activity,True,False,True,2 - No,1 - Yes,1 - Only option,True,False,False,1 - Supervisor NOT required and/or mentioned,Scholalry Project
28,38,Using,Applying,Objective,False,False,False,,,,False,False,False,,
29,38,Using,Remembering,Objective,False,False,False,,,,False,False,False,,
30,38,Using,Understanding,Objective,False,False,False,,,,False,False,False,,
31,38,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
35,38,Using,Applying,Objective,False,False,False,,,,False,False,False,,
36,38,Using,Remembering,Objective,False,False,False,,,,False,False,False,,
37,38,Using,Understanding,Objective,False,False,False,,,,False,False,False,,
38,38,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
42,38,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Proposal - WRITTEN
43,38,Leading,Creating,Assessment,True,False,False,1 - Yes,1 - Yes,1 - Only option,False,False,False,,Proposal - ORAL
44,38,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Progress report - ORAL
